"Test";"Manager";"CPU(ms) Default_64";"Ticks(ms) Default_64";"Memory(Kb) Default_64";"CPU(%) FastMM4_64";"Ticks(%) FastMM4_64";"Memory(%) FastMM4_64";"CPU(%) FastMM4_FullDebug_64";"Ticks(%) FastMM4_FullDebug_64";"Memory(%) FastMM4_FullDebug_64";"CPU(%) FastMM5_64";"Ticks(%) FastMM5_64";"Memory(%) FastMM5_64";"CPU(%) FastMM5_FullDebug_64";"Ticks(%) FastMM5_FullDebug_64";"Memory(%) FastMM5_FullDebug_64";"CPU(%) ScaleMM2_64";"Ticks(%) ScaleMM2_64";"Memory(%) ScaleMM2_64";"CPU(%) TCMAlloc_64";"Ticks(%) TCMAlloc_64";"Memory(%) TCMAlloc_64";
"Multi-threaded 64 allocate, use and free";"Default";"7766";"5031";"353932";"171.632758176668";"34.1681574239714";"103.697885469525";"15.902652588205";"3.12065195786126";"172.548399127516";"158.74323976307";"30.749354005168";"107.884000316445";"14.4862219933041";"2.80262373285629";"178.181119537086";"146.458923512748";"28.8809381832638";"131.967722613383";"155.536955961885";"30.431325780163";"431.345004125086";
"Multi-threaded 64 reallocate and use";"Default";"8124";"4203";"490892";"169.633185622846";"41.6369260052344";"98.3637948876739";"8.25947808961103";"2.23649773970973";"124.406997873259";"151.760216642048";"37.1639305258149";"105.319296301427";"5.9699655342196";"1.47513680704259";"129.928375284177";"158.296405711472";"39.0197477991911";"105.787016288715";"152.892663712457";"37.5446109921485";"310.998753289929";
"NexusDB with  1 thread(s)";"Default";"5735";"5734";"143244";"101.342632955536";"101.377746773631";"97.699031023987";"1.36006974716652";"1.36030694105337";"385.769735556114";"102.981691368788";"102.999651203348";"221.526905140879";"1.36006974716652";"1.36030694105337";"416.665270447628";"104.0802092415";"104.098360655738";"127.337968780542";"117.698343504795";"117.718869898849";"1020.74502247913";
"NexusDB with  2 thread(s)";"Default";"5687";"3984";"162188";"116.493757692984";"83.5341365461847";"97.9677904653858";"1.65289256198347";"1.17971887550201";"342.131353737638";"112.642869702831";"80.3965863453815";"190.60103090241";"1.63530859855812";"1.15461847389558";"368.628998446248";"105.222437137331";"75.3012048192771";"109.307716970429";"132.442412519782";"95.3062248995984";"902.150590672553";
"NexusDB with  4 thread(s)";"Default";"5531";"3531";"200076";"155.360694268668";"64.5992636646842";"97.7128691097383";"2.27806906526849";"0.877938261115831";"279.005977728463";"132.218405351654";"53.5259133389974";"141.712149383234";"2.25998915205207";"0.877938261115831";"299.846058497771";"123.449647441692";"53.1011045029737";"111.12777144685";"154.23973964925";"65.9303313508921";"732.335712429277";
"NexusDB with  8 thread(s)";"Default";"5313";"3453";"272012";"212.629399585921";"51.1439328120475";"98.3177212770025";"4.4042913608131";"0.897770055024616";"206.726173845272";"199.981178242048";"38.9226759339705";"111.387732894137";"2.35271974402409";"0.463365189690125";"222.054909342235";"187.935253152644";"36.200405444541";"114.866991162155";"213.212874082439";"43.4404865334492";"540.168816081644";
"NexusDB with 12 thread(s)";"Default";"6984";"4485";"345228";"230.455326460481";"48.4280936454849";"98.3037297090618";"3.12142038946163";"0.691192865105909";"163.180275064595";"199.785223367698";"40.4236343366778";"107.637850927503";"1.78980526918671";"0.356744704570792";"176.147937015538";"180.097365406644";"40.7580824972129";"111.269074350864";"205.154639175258";"52.263099219621";"426.796204247628";
"NexusDB with 16 thread(s)";"Default";"4813";"3172";"332684";"245.397880739663";"50.7250945775536";"123.248488054731";"4.8826095990027";"1.00882723833544";"170.564259176877";"209.058799085809";"40.8890290037831";"129.548760986402";"2.59713276542697";"0.504413619167718";"184.020872659942";"186.017037190941";"42.843631778058";"122.543915547487";"223.997506752545";"44.7982345523329";"444.119945654134";
"NexusDB with 31 thread(s)";"Default";"4266";"3281";"531084";"283.14580403188";"48.5522706491923";"128.060344502941";"2.90670417252696";"0.487656202377324";"109.737819252698";"225.996249413971";"37.1533069186224";"92.7213020915712";"0.750117205813408";"0.457177689728741";"118.167370886715";"209.493670886076";"39.0429747028345";"87.7548561056255";"241.373652133146";"41.9079548918013";"281.099788357397";
"NexusDB with 64 thread(s)";"Default";"4735";"5579";"626316";"364.963041182682";"40.8854633446854";"203.08917543221";"5.30095036958817";"0.555655135328912";"98.4474290933011";"291.04540654699";"31.0987632192149";"201.244739077399";"2.61879619852165";"0.286789747266535";"105.595258623442";"256.071805702218";"28.284638824162";"122.315891658524";"296.346356916579";"33.3213837605306";"243.75363235172";
"Quick Sort Extended Array";"Default";"23703";"3172";"132492";"105.210310931106";"140.889029003783";"97.5123026295927";"1.05049993671687";"0.977301387137453";"422.099447513812";"102.902586170527";"101.481715006305";"873.263291368535";"0.923933679281104";"0.977301387137453";"455.888657428373";"102.632578154664";"102.459016393443";"242.782960480633";"105.210310931106";"119.703656998739";"1108.99073151587";
"Quick Sort Integer Array";"Default";"2125";"2125";"125324";"106.635294117647";"106.635294117647";"97.3700169161533";"1.45882352941176";"1.45882352941176";"440.522166544317";"104.376470588235";"104.376470588235";"902.783185981935";"1.45882352941176";"1.45882352941176";"476.243975615205";"104.423529411765";"104.423529411765";"250.949538795442";"106.588235294118";"106.588235294118";"1166.70071175513";
